		SIG Parameters - Roster Preferences
ID	Pref Name	Description
1025	Comment	A user can enter a comment up to 500 characters long in the Comment field. This comment can be viewed on the Callout Create page by clicking the cmt? link in the Roster Picker for that list
-2	Mask	When the Mask checkbox is checked, the list will not be selectable for the Availability by Roster report
1102	NoAdd	When the NoAdd roster preference is checked, employees can no longer be added to the list via List Maint > Add Employees or the Employee Modify page
1012	NoView	Not found in the document provided.
1019	Pointer	The Pointer roster preference is used to determine who is called first on callouts. It can be Last Called/Attempted, Last Accepted, or Keep Last Pointer.
1054	LastAccept	If this attribute is selected with the Pointer option, the roster becomes a pointer list with the pointer being used to determine who is called first on callouts.
1100	Swaps	Not found in the document provided.
1077	SleepTime	Not found in the document provided.
1073	Excl	Not found in the document provided.
1058	NoCC	Not found in the document provided.
1065	StbyDev	Not found in the document provided.
1067	NumOnCall	Not found in the document provided.
1055	QualNo	The Qualify No roster preference allows users to determine when employees who responded with a result of Qualify No will be called back.
1023	PgrDly	Not found in the document provided.
1066	EmpDly	Not found in the document provided.
1082	MatchRule	Not found in the document provided.
1104	Barrel	The Barrel roster preference is used to enable the Crew in a Barrel callout rule for a roster
1109	Barrel2	The Barrel 2 roster preference allows multiple crews to exist on a single list and allow ARCOS to call only the first crew on the list
1074	Blast	The Blast roster preference enforces Blast Calling to be used for the roster regardless if it is enabled or not for the callout
1114	CTT	The CTT roster preference determines how the list will be called when called in a Closest-to-Trouble callout
1099	DNCA	The Do not Call Again roster preference when enabled enforces the "Do not Call Again" rule
1105	DefQ	The Default Quantity roster preference controls what the default number of requested employees will be when a callout is created for the list
1052	EndLap	Not found in the document provided.
1057	ExAH	Not found in the document provided.
1101	ExAND	Not found in the document provided.
1095	FPF	Not found in the document provided.
1106	IRF	Not found in the document provided.
1113	Inactive	Not found in the document provided.
1035	JARule-1	If the JvsA callout attribute is enabled and the rosters being called have the JvsA option set, the callout will process as described in the document.
1080	JvsA	If the JvsA callout attribute is enabled and the rosters being called have the JvsA option set, the callout will process as described in the document.
1107	KeepLast	If this attribute is selected with the Pointer option and the Last Accept Pointer, the roster becomes a pointer list with the pointer being used to determine who is called first on callouts.
1044	Limit-1	Not found in the document provided.
1083	LineDept	Not found in the document provided.
1112	LinkRoll	Not found in the document provided.
1059	NoRoll	Not found in the document provided.
1060	NormOnly	Not found in the document provided.
1078	NumDev	Not found in the document provided.
1116	OnCallOnly	Not found in the document provided.
1024	OvRest	Not found in the document provided.
1072	PtrReset	The Pointer Reset roster preference allows users to set an exact time and day of the week the pointer will reset per roster basis.
1042	Roll	The Rolling list method rotates all qualified employees to the bottom of the list after each callout if they are considered for callout based on their qualifications.
1103	RosterDev	Not found in the document provided.
1115	ShiftPref	Not found in the document provided.
1075	SibCR	Not found in the document provided.
1056	Skips	Not found in the document provided.
1051	StLap	Not found in the document provided.
1081	Alpha	Not found in the document provided.
0	HrsSort	Not found in the document provided.
1022	MaintainSort	Not found in the document provided.
1094	SenSort	Not found in the document provided.
-1	Rotate	Not found in the document provided.
1068	VehRot	Not found in the document provided.
1076	AddAfterPtr	Not found in the document provided.
1011	Cutoff	Not found in the document provided.
1063	ListAdj	Not found in the document provided.
1062	NewAdj	Not found in the document provided.
1111	ReSort	Not found in the document provided.
1043	Reverse	Not found in the document provided.
1061	Sticks	Not found in the document provided.
1064	SvcDate	Not found in the document provided.
1079	ZOTNSTB	Not found in the document provided.
1013	BaseDate	Not found in the document provided.
1014	Period	Not found in the document provided.
1015	NumRosters	Not found in the document provided.
1016	Cascade	Not found in the document provided.
1017	CUM HRS	The Cumulative Hours field displays the total number of hours the employee has worked【10:17†source】.
1117	DAILY HRS	Not found in the document provided.
1110	AVG HRS	Not found in the document provided.
1018	Accum OT	Not found in the document provided.
1093	Assumed	Not found in the document provided.
1071	DT	Not found in the document provided.
1031	HRS Refused	Not found in the document provided.
1027	HRS Worked	Not found in the document provided.
1108	PCT HRS	Not found in the document provided.
1096	Per Diem	Not found in the document provided.
1069	ST	Not found in the document provided.
1097	Turnover	Not found in the document provided.
2000	manual	Is this a manual-only Callout Type?
